marks,rating,role_encoded,department_encoded,competencyLevel_encoded,skill_name_encoded,course_name_encoded,employee_id,assessment_id
79,2,0,7,0,11,3,17995,1
87,5,1,7,1,1,5,15754,2
54,2,3,3,1,6,11,49440,3
99,4,1,4,2,2,11,9008,4
75,4,1,6,2,8,11,12551,5
61,4,2,3,2,2,3,44450,6
51,2,2,7,1,6,0,41088,7
66,4,2,3,2,7,11,23862,8
58,4,2,6,0,13,10,18083,9
66,5,0,4,1,5,3,2664,10
91,5,1,8,0,11,11,27784,11
92,4,0,5,1,1,12,42597,12
55,1,2,7,2,6,13,32891,13
95,3,0,6,0,2,1,15588,14
81,5,3,8,2,12,8,42331,15
63,3,3,2,1,14,5,4619,16
50,3,0,2,0,13,2,17881,17
71,3,2,8,0,9,11,35271,18
73,3,1,7,1,2,13,26208,19
71,4,1,5,1,2,12,11951,20
99,1,0,9,1,7,5,8867,21
85,2,2,6,0,1,1,32199,22
83,3,0,2,2,3,4,40907,23
63,5,2,5,1,5,7,24547,24
67,3,3,0,0,2,1,33609,25
93,4,1,9,1,5,2,5939,26
100,2,2,0,1,1,14,38749,27
75,3,0,3,2,2,7,23630,28
88,4,1,6,0,0,10,40493,29
76,4,3,8,2,12,2,38558,30
53,4,2,9,2,3,6,1166,31
59,4,3,9,0,8,9,13500,32
97,5,0,2,2,10,14,23041,33
79,5,1,7,1,14,1,37798,34
95,5,2,7,1,2,7,22952,35
67,4,0,4,0,2,5,25211,36
56,2,2,0,0,13,12,45413,37
98,5,3,2,1,7,1,7398,38
71,2,1,7,1,1,14,29831,39
65,3,1,0,2,0,9,15313,40
83,4,0,4,1,7,3,29509,41
55,3,2,4,1,12,1,5654,42
58,3,0,3,0,10,2,47538,43
91,3,0,6,0,7,0,25026,44
55,5,2,7,0,3,11,39274,45
93,4,2,6,1,6,4,34945,46
78,5,0,9,2,7,6,17739,47
80,1,1,0,2,11,1,28620,48
56,2,3,3,1,7,2,2023,49
71,4,1,2,2,14,6,40807,50
52,1,3,1,1,13,4,13846,51
50,5,2,0,0,3,3,980,52
64,4,1,8,2,4,4,13902,53
99,2,1,8,1,1,2,33226,54
85,4,2,5,2,5,14,28341,55
96,4,2,9,1,7,5,28924,56
95,4,3,8,2,2,11,18140,57
65,3,3,7,0,5,1,48325,58
60,2,1,5,1,8,11,38851,59
91,4,2,4,1,2,4,44201,60
67,3,1,8,2,12,0,38475,61
58,2,1,4,1,13,2,29080,62
55,5,1,0,0,12,13,46201,63
87,1,3,1,0,12,7,17334,64
56,5,2,0,2,2,3,9989,65
81,1,3,7,2,3,4,43961,66
63,4,1,3,0,4,11,45791,67
74,4,0,3,1,1,2,17058,68
83,5,2,3,0,6,4,47096,69
54,2,2,3,1,10,0,8516,70
51,3,2,1,0,12,11,41568,71
53,3,0,1,0,6,9,14662,72
100,4,3,0,0,5,10,21493,73
78,3,3,1,1,14,1,4801,74
99,3,2,8,0,0,2,21419,75
92,5,1,9,0,12,3,28605,76
86,2,3,2,2,1,12,40227,77
71,5,0,6,0,11,7,22067,78
61,3,0,6,0,3,3,14526,79
51,5,2,6,0,10,7,11491,80
87,5,3,1,1,6,12,21433,81
56,3,0,2,2,14,6,34569,82
83,4,0,5,1,7,11,25543,83
88,5,1,0,0,1,2,38696,84
65,1,1,0,0,7,7,44479,85
63,4,3,5,0,7,12,15577,86
79,1,1,9,1,7,0,49784,87
54,2,1,6,1,10,1,2971,88
59,2,1,3,1,13,3,10731,89
68,3,1,0,1,1,1,20724,90
53,4,3,7,2,12,11,24360,91
60,5,0,4,0,7,7,16384,92
78,4,2,1,0,9,8,23087,93
93,1,0,7,1,13,11,28261,94
60,2,2,9,1,0,2,45337,95
96,2,0,3,2,8,10,9070,96
90,5,3,3,1,0,12,45960,97
94,1,0,2,1,0,14,2131,98
72,4,2,4,2,1,14,35746,99
56,2,3,2,1,7,5,48975,100
72,4,2,8,0,12,8,8594,101
98,3,2,0,2,9,4,32108,102
92,4,1,2,2,5,3,4236,103
94,3,1,2,1,3,5,42713,104
60,5,1,2,0,11,13,18633,105
56,4,2,9,0,12,9,22211,106
69,5,0,6,0,12,11,48769,107
73,4,3,4,1,8,3,24594,108
94,3,1,6,0,9,9,29588,109
55,2,1,7,2,14,12,15237,110
79,4,2,2,1,14,11,22012,111
54,4,3,9,2,10,8,43972,112
99,5,3,6,0,9,3,7334,113
97,1,2,6,1,12,13,27400,114
74,5,0,6,1,11,1,49151,115
66,4,0,3,0,12,4,18481,116
50,3,1,7,0,11,3,18990,117
63,1,1,2,2,11,7,8879,118
96,1,2,8,1,13,3,35433,119
84,4,3,9,2,4,13,2010,120
91,1,2,6,0,12,6,10105,121
59,1,0,6,2,1,13,24399,122
97,2,1,5,2,14,10,37156,123
57,2,2,7,2,7,7,23720,124
72,4,3,4,0,9,5,18572,125
72,3,0,6,1,3,4,17503,126
62,5,1,0,1,3,8,38917,127
57,3,0,9,1,9,1,41341,128
72,4,2,0,0,13,10,7762,129
79,4,0,2,2,10,3,7508,130
82,2,2,6,0,3,3,30447,131
65,1,0,9,1,6,0,3533,132
63,4,2,9,1,10,7,42726,133
89,4,0,3,0,1,11,42747,134
85,3,2,9,1,7,3,7283,135
92,3,1,2,2,8,6,31385,136
81,1,2,6,1,13,13,29607,137
77,4,2,6,1,5,5,48986,138
50,4,0,1,1,11,14,24067,139
58,2,0,2,2,14,2,22372,140
97,3,0,4,1,1,11,15471,141
92,3,1,5,1,1,9,31306,142
90,5,1,3,0,8,3,4483,143
73,3,1,6,0,11,5,46408,144
75,2,0,4,2,0,10,45811,145
90,3,0,5,0,14,3,20326,146
81,4,0,4,1,5,12,47830,147
94,1,1,2,1,8,11,28806,148
62,5,1,1,0,11,4,8226,149
66,3,2,0,1,7,8,26895,150
92,2,2,7,1,14,11,34580,151
87,3,3,9,1,7,3,27196,152
54,3,3,3,2,8,0,20284,153
78,2,3,5,2,4,10,44544,154
51,4,3,0,2,7,4,12785,155
60,4,0,0,2,9,9,38725,156
65,1,2,3,0,1,10,13276,157
51,1,1,6,1,5,3,39954,158
61,3,3,9,0,12,2,36355,159
61,1,2,3,1,13,4,2013,160
99,4,1,8,2,1,8,42269,161
85,1,3,5,0,14,10,15601,162
54,3,1,2,0,7,1,20969,163
96,2,0,0,0,7,3,25721,164
69,4,3,8,0,2,3,45670,165
95,5,3,4,2,7,14,9339,166
100,3,1,9,1,5,11,3219,167
87,2,0,1,0,11,6,11219,168
52,2,0,7,1,11,0,40317,169
53,2,3,6,0,5,14,29797,170
96,1,2,3,1,4,13,14961,171
53,3,1,1,1,8,5,35217,172
63,3,2,0,0,2,9,7653,173
59,2,0,9,0,8,12,27069,174
91,3,3,3,0,6,5,2615,175
64,4,3,0,2,12,3,14630,176
85,3,1,9,1,6,5,42658,177
55,1,1,3,2,6,13,38303,178
88,2,1,3,2,0,13,30183,179
53,3,0,8,1,12,3,25799,180
66,1,1,2,0,12,7,735,181
69,1,2,5,1,5,4,16216,182
56,1,0,2,0,12,0,24114,183
73,2,3,1,2,12,7,48265,184
97,2,2,5,2,9,14,24339,185
67,3,3,1,2,7,4,41769,186
74,3,1,6,1,3,8,20548,187
56,5,3,4,1,3,1,11002,188
56,4,1,5,2,7,4,31195,189
99,3,3,1,1,12,8,12174,190
70,1,1,6,0,3,6,9561,191
94,3,0,8,2,5,11,5417,192
84,2,2,4,1,5,3,25047,193
60,4,2,4,1,7,14,9858,194
66,1,0,2,1,8,8,40198,195
90,5,1,5,0,4,5,16579,196
84,2,2,7,1,7,14,18066,197
93,5,1,5,0,7,10,41083,198
90,5,1,1,0,0,4,39355,199
92,2,2,2,1,14,2,20256,200
67,5,2,3,0,13,5,25033,201
99,2,2,9,1,1,2,15634,202
94,1,0,2,2,11,1,6816,203
85,1,1,9,1,11,13,21735,204
63,3,1,0,1,4,5,25110,205
76,3,1,3,0,12,10,1067,206
73,1,3,5,0,5,10,29068,207
79,4,2,2,0,11,5,14533,208
53,3,1,0,1,6,11,9082,209
59,2,2,3,0,2,12,7882,210
87,3,0,7,2,13,7,1740,211
75,2,1,8,0,14,1,17233,212
70,5,2,1,2,14,8,37275,213
96,5,2,8,1,5,5,23950,214
77,4,2,3,0,5,10,29915,215
61,5,1,4,1,1,8,49666,216
68,2,1,6,0,6,12,13402,217
55,4,0,1,0,14,14,40969,218
68,4,2,5,2,8,8,49089,219
56,4,0,8,1,10,10,1053,220
96,4,1,8,2,8,6,4844,221
58,2,2,5,2,10,8,24629,222
52,1,3,7,2,3,13,40529,223
99,5,2,6,0,7,11,22796,224
53,5,2,9,1,1,5,668,225
88,5,0,8,2,9,5,47195,226
93,5,1,2,1,6,12,18828,227
89,2,0,8,0,11,12,4322,228
76,2,0,1,1,8,5,14397,229
65,3,3,7,1,0,8,7378,230
58,2,1,8,0,9,0,37863,231
71,2,1,8,2,4,12,10005,232
52,4,2,6,0,9,4,12322,233
78,1,0,6,2,2,7,12317,234
96,3,0,3,0,3,1,10495,235
73,3,2,6,0,6,3,20304,236
97,2,1,5,1,11,0,2665,237
68,3,2,1,2,0,9,14896,238
93,2,3,3,0,7,12,23414,239
57,3,1,3,2,6,7,40492,240
82,2,0,0,0,14,12,43286,241
64,1,0,1,2,4,8,23233,242
70,5,3,2,0,3,13,41300,243
59,2,1,7,0,7,14,3416,244
88,2,2,3,1,14,0,1059,245
99,4,2,3,1,1,3,25136,246
96,2,0,9,0,7,0,34571,247
62,3,1,7,1,4,3,32474,248
95,5,1,6,0,5,3,17236,249
86,4,3,3,0,6,14,23645,250
51,4,3,1,0,0,4,30095,251
61,2,2,6,0,0,1,4700,252
93,1,1,1,1,8,10,38634,253
51,4,2,8,0,2,8,9401,254
91,4,2,9,1,5,4,38074,255
91,4,1,5,0,14,3,6251,256
50,3,3,1,0,1,10,35763,257
95,4,0,3,2,5,6,36095,258
59,4,2,0,0,9,5,47479,259
64,4,1,8,2,5,3,15304,260
76,3,2,8,1,2,8,8396,261
98,1,3,4,2,14,13,38608,262
83,2,2,8,1,6,2,3895,263
76,4,3,5,0,14,8,15152,264
100,1,1,0,1,0,0,30100,265
81,4,0,2,0,8,9,35314,266
61,1,2,4,0,3,5,2154,267
81,2,1,6,1,11,3,33017,268
64,4,1,9,1,3,10,37088,269
72,2,3,4,1,7,0,11743,270
58,4,2,7,0,12,3,2009,271
56,1,0,4,1,12,8,6848,272
94,4,3,5,2,4,11,48230,273
57,4,1,8,0,3,12,2312,274
78,5,3,1,2,2,14,37223,275
72,4,3,4,2,5,8,19477,276
69,2,2,8,1,9,1,15085,277
67,5,0,5,2,1,13,5819,278
70,4,0,2,2,13,3,29950,279
97,1,1,1,2,8,7,29585,280
95,1,2,3,2,6,4,1747,281
61,4,3,1,1,0,2,8034,282
89,1,2,9,2,10,8,2697,283
82,2,1,4,1,7,3,7525,284
78,5,1,4,0,8,3,9708,285
67,5,3,5,1,2,1,44903,286
67,3,1,1,0,12,2,13096,287
88,2,1,0,1,2,3,26815,288
84,2,0,9,2,4,7,40029,289
79,2,2,8,1,10,13,35004,290
71,4,3,1,2,10,3,41620,291
83,5,3,1,0,3,11,29589,292
85,4,1,1,0,2,14,5496,293
93,4,1,3,2,12,3,35061,294
55,4,2,7,2,9,2,28973,295
75,3,1,9,0,13,8,20958,296
76,3,2,1,1,8,5,3278,297
85,4,2,5,2,11,8,3108,298
94,4,3,3,1,9,3,9682,299
57,1,1,5,1,7,8,38543,300
73,3,3,2,1,6,8,41445,301
74,1,1,4,2,2,5,44372,302
50,3,3,2,2,1,3,45321,303
84,3,0,7,0,12,5,31386,304
72,1,3,2,1,9,6,2963,305
65,2,3,9,0,5,1,48068,306
88,3,1,7,0,5,5,45194,307
94,4,3,3,2,4,2,15546,308
67,2,0,1,2,5,9,9823,309
89,1,3,3,2,12,13,13243,310
51,4,1,3,0,1,13,15086,311
94,3,0,9,1,3,11,25982,312
87,2,1,4,0,5,7,24445,313
52,3,0,1,1,9,11,30660,314
92,4,0,3,0,9,10,17060,315
97,1,3,9,1,5,4,21886,316
67,3,2,6,1,3,4,7012,317
58,2,2,0,1,8,2,29231,318
93,2,2,9,2,5,13,23096,319
60,3,1,0,1,13,3,38279,320
50,3,0,1,2,8,3,8075,321
74,1,3,0,1,14,5,14506,322
73,2,1,8,0,4,12,17233,323
57,4,2,1,1,1,2,7016,324
100,1,3,8,2,13,5,22525,325
55,5,0,1,0,6,4,32029,326
75,4,3,2,2,10,4,41440,327
92,3,2,0,0,14,5,14625,328
82,2,1,1,0,8,6,35080,329
98,2,1,0,0,1,12,43601,330
50,5,1,8,2,10,7,18760,331
51,5,2,5,0,9,8,25105,332
83,4,2,2,2,8,3,29768,333
100,3,0,5,1,4,7,3995,334
54,4,1,6,0,1,13,21307,335
70,5,3,2,2,10,14,17186,336
79,4,0,7,0,1,10,33347,337
79,1,1,6,1,1,4,20330,338
91,2,2,9,2,4,7,18627,339
83,1,0,3,1,3,5,34841,340
64,5,1,8,2,4,8,23173,341
90,2,0,7,0,7,3,3101,342
89,2,1,1,1,0,13,3277,343
64,5,3,6,2,3,14,23407,344
71,4,2,1,1,8,4,48055,345
96,2,0,4,0,5,12,45882,346
73,3,1,1,2,6,3,3277,347
60,1,3,6,2,4,13,49219,348
73,2,3,9,0,9,14,23920,349
94,4,0,6,1,13,3,20109,350
92,2,1,4,0,13,6,20996,351
67,2,0,1,0,0,9,6112,352
80,3,1,0,2,13,3,38977,353
80,5,1,6,0,9,13,12998,354
71,5,2,9,0,8,5,49910,355
79,3,1,3,0,6,2,6988,356
89,5,2,0,2,0,10,42576,357
85,5,3,6,1,0,1,33113,358
92,4,1,4,2,2,9,42187,359
87,4,3,5,1,0,12,20233,360
94,5,0,0,0,14,3,49632,361
89,3,2,0,0,3,1,2218,362
57,3,3,1,0,14,1,28977,363
89,3,3,7,0,5,0,37763,364
88,2,1,6,1,7,2,39306,365
96,2,0,6,0,5,13,4561,366
71,4,2,0,0,4,8,45569,367
51,4,1,4,1,9,13,17362,368
90,3,3,2,0,0,4,22975,369
88,5,2,0,0,2,7,47002,370
57,4,0,2,2,14,6,16709,371
76,2,3,8,2,12,13,35636,372
86,4,1,3,1,10,4,42591,373
55,1,2,0,2,8,7,3765,374
58,1,2,0,2,5,4,30961,375
74,2,2,7,1,1,10,21547,376
73,3,3,0,0,3,9,37136,377
58,5,3,0,2,11,14,38801,378
80,3,1,0,1,4,4,10769,379
91,5,0,3,2,2,14,43729,380
63,2,3,8,2,14,3,18380,381
83,4,0,1,1,8,9,23408,382
70,3,2,0,1,3,8,4716,383
88,4,0,6,1,4,2,26432,384
100,3,2,7,2,1,5,19026,385
59,2,1,4,0,7,3,24519,386
87,4,3,1,0,12,3,14121,387
77,5,1,3,0,8,4,64,388
56,3,1,8,1,13,8,30005,389
94,3,0,9,0,8,11,4664,390
88,4,2,1,1,7,3,26947,391
75,2,0,2,1,0,3,35077,392
94,3,0,7,0,11,0,43040,393
