course_id,course_name,description,competencyLevel,department,rating
1,Product Management Essentials,Against American while.,advanced,Technical Support,3
2,Quality Assurance Testing,Contain nature clear.,advanced,Quality Assurance,3
3,Quality Assurance Testing,Others close produce miss medical site wear.,advanced,Technical Support,2
4,Cloud DevOps,Mr move wide PM himself.,advanced,Software Development,4
5,Data Pipelines with Apache Airflow,Thing join memory.,advanced,Data Science,5
6,Deep Learning for AI,Their their challenge protect size we.,intermediate,Data Engineering,3
7,Introduction to Python,Simple author guy education quality.,intermediate,Artificial Intelligence,3
8,Technical Support Troubleshooting,Be born offer.,intermediate,Cybersecurity,2
9,Cybersecurity Fundamentals,Defense after prove employee.,advanced,Data Science,5
10,Advanced Machine Learning,Tough international rock other huge action.,beginner,Product Management,2
11,Cloud DevOps,Less trouble adult billion hair respond.,intermediate,DevOps,3
12,DevOps Automation,More view chair officer perhaps huge board just.,advanced,DevOps,3
13,Advanced Machine Learning,Crime management item Democrat degree up.,beginner,Data Science,2
14,Cloud DevOps,Soon instead hour old outside.,intermediate,Machine Learning,4
15,Data Science with R,Financial hour have production organization week man.,intermediate,Quality Assurance,4
16,Data Pipelines with Apache Airflow,Who listen Republican pattern.,beginner,Quality Assurance,1
17,Advanced Machine Learning,Clearly amount clear administration.,advanced,Data Science,1
18,Introduction to Python,Address score know long.,advanced,Machine Learning,3
19,Data Science with R,Such building heart explain.,intermediate,Software Development,3
20,Deep Learning for AI,Believe sure do century visit indicate.,intermediate,DevOps,1
21,Software Development Best Practices,Under across short child here yard business.,beginner,Machine Learning,3
22,Data Pipelines with Apache Airflow,Third positive write more matter administration sort.,beginner,Artificial Intelligence,4
23,Advanced Machine Learning,Mouth thought again art.,intermediate,Data Science,3
24,AI Ethics and Governance,Tend movie accept significant their want special.,beginner,Software Development,2
25,Cybersecurity Fundamentals,Technology few five pull organization subject.,advanced,Data Engineering,4
26,Product Management Essentials,Necessary own short happen well.,intermediate,DevOps,4
27,Technical Support Troubleshooting,There him available especially.,advanced,Machine Learning,2
28,Cloud DevOps,Near movie stop suffer herself.,intermediate,Software Development,1
29,Deep Learning for AI,Stand memory blood analysis decision response project.,intermediate,Quality Assurance,1
30,Natural Language Processing,How move large event walk art.,advanced,Technical Support,3
31,Software Development Best Practices,Simple institution moment look.,beginner,Software Development,2
32,Data Science with R,Smile despite picture herself society.,advanced,Data Engineering,2
33,Introduction to Python,Defense similar report price draw board break hot.,intermediate,Software Development,4
34,Natural Language Processing,Suggest case look thing artist continue list.,advanced,Data Engineering,4
35,Deep Learning for AI,Data price director necessary kid.,intermediate,Data Science,2
36,Cloud DevOps,Family military message city.,intermediate,Data Science,2
37,DevOps Automation,Tonight Republican this perhaps move detail.,beginner,Technical Support,3
38,Data Science with R,Long suggest benefit green.,beginner,Software Development,1
39,Introduction to Python,Husband test show yeah subject own thank.,beginner,DevOps,4
40,Deep Learning for AI,Skill explain major movie increase visit teach.,advanced,Data Engineering,2
41,DevOps Automation,Employee appear red politics interest film.,intermediate,Data Engineering,5
42,AI Ethics and Governance,Garden lose office company relate.,beginner,Technical Support,3
