assessment_id,employee_Id,course_id,skill_id,marks,date,approvalStatus
1,17995,46,31,79,2024-04-02,Approved
2,15754,156,120,87,2024-03-01,Approved
3,49440,120,88,54,2024-05-04,Pending
4,9008,26,15,99,2024-06-05,Approved
5,12551,26,2,75,2024-03-14,Rejected
6,44450,98,118,61,2024-01-01,Pending
7,41088,13,41,51,2024-01-22,Rejected
8,23862,73,61,66,2024-02-16,Pending
9,18083,34,177,58,2024-04-20,Pending
10,2664,135,101,66,2024-01-30,Approved
11,27784,146,116,91,2024-08-23,Pending
12,42597,159,48,92,2024-09-07,Approved
13,32891,90,59,55,2024-08-01,Approved
14,15588,111,196,95,2024-04-17,Rejected
15,42331,41,178,81,2024-02-05,Rejected
16,4619,175,198,63,2024-02-27,Pending
17,17881,67,16,50,2024-09-10,Approved
18,35271,92,159,71,2024-02-27,Pending
19,26208,21,160,73,2024-02-17,Pending
20,11951,159,60,71,2024-01-19,Approved
21,8867,136,147,99,2024-09-17,Pending
22,32199,138,21,85,2024-07-26,Rejected
23,40907,176,28,83,2024-05-19,Approved
24,24547,153,42,63,2024-07-01,Pending
25,33609,164,145,67,2024-09-20,Approved
26,5939,49,181,93,2024-03-19,Rejected
27,38749,188,48,100,2024-07-11,Approved
28,23630,6,24,75,2024-04-16,Approved
29,40493,155,35,88,2024-06-26,Approved
30,38558,96,69,76,2024-09-10,Approved
31,1166,93,109,53,2024-09-07,Approved
32,13500,79,91,59,2024-09-12,Rejected
33,23041,192,52,97,2024-04-11,Rejected
34,37798,187,37,79,2024-06-04,Pending
35,22952,153,195,95,2024-02-04,Rejected
36,25211,139,118,67,2024-06-13,Rejected
37,45413,119,16,56,2024-09-07,Pending
38,7398,187,115,98,2024-06-09,Approved
39,29831,188,17,71,2024-04-04,Approved
40,15313,7,6,65,2024-02-11,Rejected
41,29509,161,124,83,2024-09-25,Approved
42,5654,42,57,55,2024-07-10,Approved
43,47538,140,12,58,2024-01-04,Approved
44,25026,58,172,91,2024-06-21,Approved
45,39274,146,188,55,2024-07-04,Rejected
46,34945,51,106,93,2024-02-19,Rejected
47,17739,129,124,78,2024-04-02,Approved
48,28620,121,151,80,2024-04-12,Pending
49,2023,84,165,56,2024-09-09,Approved
50,40807,15,190,71,2024-10-02,Approved
51,13846,59,40,52,2024-02-19,Rejected
52,980,143,34,50,2024-06-14,Pending
53,13902,100,13,64,2024-10-06,Pending
54,33226,84,48,99,2024-09-04,Rejected
55,28341,86,90,85,2024-06-01,Rejected
56,28924,22,110,96,2024-07-08,Rejected
57,18140,73,118,95,2024-06-01,Approved
58,48325,194,181,65,2024-06-28,Approved
59,38851,120,144,60,2024-03-18,Rejected
60,44201,186,160,91,2024-01-04,Rejected
61,38475,23,178,67,2024-04-12,Rejected
62,29080,85,68,58,2024-06-09,Rejected
63,46201,60,178,55,2024-09-19,Rejected
64,17334,182,104,87,2024-03-20,Rejected
65,9989,75,9,56,2024-03-03,Rejected
66,43961,53,188,81,2024-09-21,Rejected
67,45791,165,180,63,2024-02-24,Rejected
68,17058,166,21,74,2024-02-24,Rejected
69,47096,83,88,83,2024-07-16,Rejected
70,8516,13,52,54,2024-02-16,Approved
71,41568,80,27,51,2024-02-14,Approved
72,14662,18,98,53,2024-09-07,Approved
73,21493,155,90,100,2024-08-28,Approved
74,4801,42,154,78,2024-01-14,Rejected
75,21419,67,126,99,2024-01-30,Approved
